ID,species_code,family,genus,species,scientific_name,Native,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
212,x,plantable spot,plantable spot,plantable spot,plantable spot,N/A,,other,,,,,
16,asplar,Salicaceae,Poplar,Largetooth Aspen,Populus grandidentata,Yes,75,species,Deciduous,"Quebec to Ontario, Eastern United States",T,0.35,0.8
17,asptre,Salicaceae,Poplar,Trembling Aspen,Populus tremuloides,Yes,,species,Deciduous,North America: Across Canada and Southern US,T,0.48,0.74
62,coteas,Salicaceae,Poplar,Eastern Cottonwood,Populus deltoides,Yes,,species,Deciduous,"Central U.S.A., South Eastern Border of Canada",T,0.35,0.85
123,hybpop,Salicaceae,Poplar,Poplar hybrid,Populus x hybida,N/A,30,species,Deciduous,,T,0.3,0.8
217,popbal,Salicaceae,Poplar,Balsam Poplar,Populus balsamifera,Yes,30,species,Deciduous,Across Canada,T,0.3,0.8
218,popbla,Salicaceae,Poplar,Black Poplar,Populus nigra,No,,species,Deciduous,"Wurope, N africa, West-Central Asia",T,0.4,0.8
219,popcar,Salicaceae,Poplar,Carolina Poplar,Populus x canadensis,Yes,,species,Deciduous,,T,0.35,0.8
220,popspp,Salicaceae,Poplar,Poplar species,Populus spp,N/A,60,genus,Deciduous,,,,0.8
221,popwhi,Salicaceae,Poplar,European White Poplar,Populus alba,No,90,species,Deciduous,"Wurope, N africa, West-Central Asia",T,0.45,0.8
224,redbud,Fabaceae,Redbud,Redbud,Cercis canadensis,Yes,80,species,Deciduous,"Eastern North America from Mexico north, Pelee Island",T,0.69,0.79
225,reddaw,Taxodiaceae,Redwood,Dawn Redwood,Metasequoia glyptostroboides,No,,species,Evergreen,"Szechwan, China",T,0.87,0.79
227,rose,Rosaceae,Rose,rose,Rosa spp,N/A,60,species,Deciduous,,T,,
228,rossha,Malvaceae,Rose-of-Sharon,Rose-of-Sharon,Hibiscus syriacus,No,,species,Deciduous,,T,,
191,olirus,Elaeagnaceae,Russian Olive,Russian Olive,Elaeagnus angustifolia,No,,species,Deciduous,Europe and Western Asia,T,0.56,0.87
75,eldspp,Sambucaceae,Sambucus sp.,Elder species,Sambucus spp,N/A,25,genus,Deciduous,,T,,0.7
229,sassaf,Lauraceae,Sassafras,Sassafras,Sassafras albidum,Yes,90,species,Deciduous,North America,T,0.69,0.79
286,redwoo,Taxodiaceae,Sequoia,Redwood,Sequoia sempervirens,No,,species,Evergreen,California,T,,
231,serdow,Rosaceae,Serviceberry,Downy Serviceberry,Amelanchier arborea,No,,species,Deciduous,North America,T,0.8,0.77
232,sersmo,Rosaceae,Serviceberry,Smooth-Leaved Serviceberry,Amelanchier laevis,Yes,10,species,Deciduous,North America,T,0.8,0.77
233,serspp,Rosaceae,Serviceberry,Serviceberry species,Serviceberry spp,N/A,40,genus,Deciduous,,,,0.77
230,servic,Rosaceae,Serviceberry,Serviceberry,Amelanchier canadensis,Yes,15,species,Deciduous,North America,T,0.8,0.77
234,silcar,Styracaceae,Silverbell,Carolina Silverbell,Halesia carolina,No,30,species,Deciduous,North America,T,0.5,0.79
235,smotre,Anacardiaceae,Smoketree,Smoketree,Cotinus coggygria,No,,species,Deciduous,Southern Europe to Asia,T,0.6,0.79
236,snag,snag,snag,snag,snag,N/A,,other,,,,,
304,jappag,Fabaceae,Sophora,Japanese Pagoda Tree,Sophora japonica,No,,species,Deciduous,,T,,
86,euoeur,Celastraceae,Spindletree,European Euonymus,Euonymus europaeus,No,15,species,Deciduous,Europe,T,0.5,0.79
87,euospp,Celastraceae,Spindletree sp.,Euonymus species,Euonymus spp,N/A,,genus,Deciduous,,T,,0.7
237,sprbla,Pinaceae,Spruce,Black Spruce,Picea mariana,Yes,30,species,Evergreen,"North America: Alaska and Northern States to mountains of Virginia,  Across Canada",T,0.58,0.79
238,sprblu,Pinaceae,Spruce,Blue Spruce,Picea pungens,No,60,species,Evergreen,US Rocky Mountains,T,0.77,0.79
239,spreng,Pinaceae,Spruce,Engleman Spruce,Picea englemannii,No,50,species,Evergreen,"British Colombia to New Mexico
Native to the following USA states:
Alaska
Arizona
Colorado
Idaho
Montana
New Mexico
Nevada
Oregon
Utah
Washington
Wyoming",T,0.75,0.79
240,sprnor,Pinaceae,Spruce,Norway Spruce,Picea abies,No,70,species,Evergreen,Europe and Asia,T,0.71,0.79
